l 3
s MUWAHAHA
f
a 7 300 0 50 20
a 7 200 -100 10 20
a 7 400 -100 10 20
a 7 300 -200 10 20
w 500
a 9 50 10 30 50
a 9 100 10 30 50
a 9 150 10 30 50
a 9 200 10 30 50
a 9 250 10 30 50
a 9 300 10 30 50
a 9 350 10 30 50
a 9 400 10 30 50
a 9 450 10 30 50
a 9 500 10 30 50
a 9 550 10 30 50
a 7 300 -20 10 20
a 7 100 -100 10 20
a 7 500 -100 10 20
a 7 300 -200 10 20
k
a 4 400 0 10 20
a 4 200 -0 10 20
a 7 500 0 10 20
a 7 100 -0 10 20
w 100
a 7 400 0 10 20
a 7 200 -0 10 20
w 100
a 7 300 0 10 20
k
w 300
a 7 300 0 10 20
a 7 100 -100 10 20
a 7 500 -100 10 20
a 7 300 -200 10 20
k
w 200
a 10 300 20 10 20
a 10 100 20 10 20
a 10 400 20 10 20
k
s Now for the hard part...
f
L level2a.dat
